Index,1_WD_COS,1_WD_SIN,1_NO,1_NH3,1_SO2,1_FOR,1_NO2,1_BEN,1_TOL,1_pXY,1_mXY,1_123TMB,1_oXY,1_ETB,1_STY,1_CO2,1_CH4,1_H2S,1_CO,1_WS,1_TEMP,1_ATP,1_SR,1_o3ppb,8hro3ppb
12560,-0.023,1.000,69.800,6.600,34.800,17.700,118.800,3.900,15.300,5.500,8.100,19.000,3.000,39.400,8.900,1030.700,1.500,7.400,1.500,1.700,31.100,100.700,546.900,26.050,12.833
12561,-0.274,0.962,31.500,5.800,36.700,17.500,83.500,3.700,12.400,5.200,5.600,10.900,5.500,53.400,11.300,941.500,1.700,4.200,1.100,2.200,33.400,100.700,615.200,49.650,16.799
12562,0.066,0.998,25.900,5.600,56.300,22.500,87.300,4.900,10.400,4.200,3.300,10.300,6.700,62.300,12.100,886.400,1.500,3.200,0.900,2.600,34.700,100.700,665.500,56.160,22.433
12563,0.153,0.988,19.500,3.900,37.600,17.000,69.500,2.300,7.300,5.100,3.400,10.700,4.000,81.600,13.400,864.300,1.500,3.800,0.800,3.800,35.100,100.700,719.000,60.050,28.036
12564,-0.024,1.000,11.000,3.500,63.200,12.900,53.100,3.400,9.000,7.800,1.900,6.200,3.800,104.300,22.200,839.200,1.700,3.300,0.700,4.700,34.700,100.700,656.600,75.370,36.579
12565,-0.040,0.999,15.500,2.100,23.300,9.400,36.500,3.100,9.300,5.600,3.700,6.300,4.700,79.400,14.800,870.800,1.500,2.800,0.700,4.200,35.800,100.700,675.300,69.640,44.639
12566,0.089,0.996,13.100,3.400,23.500,8.700,49.700,3.100,8.900,5.300,3.900,3.900,3.300,60.500,13.400,867.500,1.500,2.600,0.600,4.600,35.600,100.600,347.500,64.720,51.823
12567,-0.024,1.000,9.000,3.300,23.400,10.800,43.900,3.000,8.800,6.800,3.300,8.200,3.300,83.700,15.000,926.700,1.700,2.100,0.700,4.500,33.100,100.600,282.800,77.220,59.858
12568,0.003,1.000,9.600,5.200,23.200,12.100,55.800,3.500,11.100,6.400,4.400,6.100,2.600,84.300,13.200,882.600,1.700,2.100,0.900,4.500,31.300,100.600,205.100,76.190,66.125
12569,-0.124,0.992,16.300,1.500,21.000,11.600,73.500,3.500,8.200,5.400,3.700,8.200,3.600,54.600,11.600,1083.000,1.400,2.200,0.800,4.200,31.300,100.600,75.200,57.790,67.143
12570,-0.213,0.977,12.900,3.800,15.700,12.800,89.100,2.600,9.500,5.300,3.800,5.800,4.100,50.200,8.600,956.700,1.400,2.400,0.800,3.800,31.200,100.700,5.600,45.940,65.865
12571,-0.462,0.887,9.100,4.000,21.800,17.000,99.100,2.600,16.000,5.700,7.500,9.200,5.700,61.300,11.700,1037.200,1.400,2.500,0.900,3.700,30.400,100.700,1.300,43.890,63.845
12572,-0.614,0.789,38.000,13.100,203.800,16.300,164.200,4.800,26.900,5.100,7.000,31.400,4.400,66.700,36.500,1130.200,1.500,9.100,0.900,2.700,29.300,100.800,1.300,24.520,57.489
12573,-0.618,0.786,13.600,12.400,135.800,15.600,137.300,6.200,25.200,6.400,10.400,22.900,4.000,65.500,25.600,976.700,1.600,10.100,1.000,2.400,29.000,100.800,1.300,25.380,51.956
12574,-0.838,0.546,7.500,5.800,28.900,9.400,89.500,2.900,10.200,5.800,5.400,6.100,3.400,41.500,14.800,977.700,1.500,5.800,0.800,2.700,28.400,100.800,1.300,43.920,49.356
12575,-0.742,-0.670,5.700,8.700,26.300,10.200,81.500,3.200,5.300,5.300,3.000,9.600,2.300,40.800,11.700,999.600,1.700,3.800,0.800,2.900,27.400,100.800,1.300,38.820,44.556
12576,-1.000,-0.005,42.800,5.700,64.200,14.500,126.300,1.900,13.100,5.000,6.300,28.700,2.200,20.600,10.700,1125.900,1.400,5.200,0.900,1.100,27.700,100.800,1.300,10.080,36.293
12577,-0.713,-0.701,25.500,5.400,62.300,10.900,95.300,2.100,4.800,2.500,4.400,25.300,3.000,7.800,11.400,992.800,1.500,8.400,0.700,1.500,27.800,100.800,1.300,7.550,30.013
12578,0.555,-0.832,5.700,3.300,37.800,14.800,22.700,0.800,3.500,3.000,2.100,21.700,2.900,76.800,6.500,938.300,1.400,6.100,0.300,2.700,29.400,100.700,1.300,24.920,27.385
12579,0.888,-0.460,1.700,4.300,2.200,6.400,9.800,1.100,3.100,1.700,4.000,15.800,4.600,27.600,3.900,855.900,1.600,7.700,0.300,3.200,28.800,100.800,1.300,27.950,25.393
12580,0.911,-0.412,2.500,2.700,2.800,5.800,13.700,1.000,3.400,1.400,3.500,14.300,4.300,26.300,4.700,1059.700,1.500,5.700,0.300,2.400,28.300,100.800,1.800,26.040,25.583
12581,0.543,-0.840,2.600,3.500,1.900,6.500,16.200,1.400,1.000,1.500,5.800,19.500,3.100,23.900,3.800,1040.500,1.500,3.500,0.300,1.900,27.800,100.800,43.000,22.740,25.253
12582,0.201,-0.980,5.500,4.000,11.300,6.100,17.700,0.800,1.300,1.800,2.400,15.000,3.300,33.700,7.400,962.300,1.400,2.300,0.300,2.100,28.400,100.900,141.000,21.010,22.389
12583,0.222,-0.975,8.700,1.900,80.900,8.800,28.100,0.600,3.300,2.500,4.400,25.500,2.400,42.100,23.200,995.800,1.500,2.400,0.300,2.100,30.000,101.000,285.000,19.330,19.953
12584,0.405,-0.914,2.800,1.700,19.800,8.700,13.200,0.900,2.600,3.000,2.400,16.400,1.900,55.100,11.700,874.000,1.500,3.000,0.300,3.200,31.600,101.000,390.600,29.150,22.336
12585,0.656,-0.755,2.900,2.000,2.300,9.000,5.800,0.600,1.800,2.900,3.000,8.700,2.300,54.900,6.000,1068.300,1.500,1.900,0.300,3.800,33.100,100.900,496.000,34.160,25.663
12586,0.733,-0.681,2.500,3.700,2.000,9.200,7.700,1.500,2.100,3.300,3.000,10.000,3.800,63.200,7.500,950.800,1.600,1.600,0.300,4.500,34.800,100.900,627.600,39.900,27.535
12587,0.891,-0.454,1.900,4.000,5.800,10.600,7.300,1.900,3.100,4.500,3.100,13.400,2.700,81.800,9.200,1019.200,1.500,1.500,0.300,4.400,35.200,100.900,696.400,47.460,29.974
12588,0.858,-0.514,3.800,2.800,13.000,9.000,7.600,2.300,5.300,4.700,2.400,5.000,3.900,63.500,11.900,839.300,1.600,2.000,0.200,4.100,35.400,100.800,489.000,56.020,33.721
12589,0.756,-0.655,1.600,3.000,5.000,5.900,3.900,1.500,2.200,3.200,1.400,9.000,3.800,42.700,7.600,856.800,1.500,2.400,0.200,5.300,36.100,100.800,595.600,45.360,36.549
12590,0.700,-0.714,0.400,3.000,5.200,3.600,4.600,1.300,2.300,3.000,2.700,8.900,3.100,30.900,7.300,922.000,1.600,1.800,0.200,5.700,36.100,100.700,390.000,45.570,39.619
12591,0.820,-0.572,1.700,1.200,5.000,2.000,7.700,1.400,2.900,3.500,4.100,7.900,2.000,33.600,8.900,896.400,1.500,3.200,0.300,5.900,35.900,100.700,307.800,46.280,42.988
12592,0.810,-0.586,2.800,3.700,4.000,0.700,14.200,1.400,3.200,4.100,3.200,6.900,1.200,32.300,9.700,848.900,1.500,6.100,0.300,5.400,34.900,100.700,165.800,40.940,44.461
12593,0.724,-0.690,2.400,5.800,7.100,9.400,24.100,1.700,2.300,5.000,3.100,8.900,2.200,52.700,7.000,1054.900,1.600,6.700,0.300,4.600,33.800,100.700,58.300,38.420,44.994
12594,0.621,-0.784,2.900,4.800,6.000,9.000,21.900,1.900,2.900,3.800,4.400,16.000,1.800,46.600,6.700,951.600,1.500,2.200,0.300,5.000,32.400,100.800,4.700,33.590,44.205
12595,0.711,-0.703,3.300,2.400,4.400,5.800,19.500,0.900,2.300,2.600,2.200,8.400,2.500,24.600,6.500,1153.700,1.700,1.400,0.300,4.700,31.400,100.800,1.300,29.500,41.960
12596,0.764,-0.645,4.900,4.300,3.300,7.700,21.300,1.700,1.500,2.100,3.000,13.000,2.700,26.000,4.600,1025.200,1.600,1.100,0.400,4.000,30.800,100.800,1.300,27.200,38.358
12597,0.791,-0.612,3.600,4.100,2.000,12.000,24.300,1.100,3.300,1.700,5.000,23.400,2.800,45.200,4.500,1003.100,1.500,1.800,0.400,3.800,30.300,100.800,1.300,25.280,35.848
12598,0.791,-0.612,4.000,5.600,2.400,9.700,19.100,1.300,3.400,1.800,5.400,13.400,4.100,46.100,5.300,1035.400,1.600,3.000,0.400,4.300,30.000,100.800,1.300,27.280,33.561
12599,0.721,-0.693,2.400,4.500,3.700,8.400,20.100,0.700,1.300,2.200,2.500,9.800,3.800,45.800,6.400,946.700,1.700,11.200,0.400,3.500,30.000,100.700,1.300,29.080,31.411
12600,0.562,-0.827,4.600,3.300,5.600,2.300,17.400,0.900,1.300,2.600,1.800,11.600,1.700,22.900,8.100,856.300,1.500,5.400,0.200,4.200,29.700,100.800,1.300,28.190,29.818
12601,0.194,-0.981,3.200,3.000,0.700,2.000,3.900,1.000,3.400,4.000,4.200,4.000,1.300,45.200,8.800,921.900,1.600,1.000,0.100,5.900,28.100,100.800,1.300,41.960,30.260
12602,0.502,-0.865,3.200,4.900,148.200,2.300,21.800,1.100,4.300,3.600,4.800,29.600,1.400,58.800,28.600,1060.900,1.500,1.300,0.100,4.600,27.000,100.700,1.300,35.350,30.480
12603,0.350,-0.937,2.800,2.500,5.100,1.500,6.100,1.700,3.900,4.100,1.700,5.300,0.800,44.800,8.900,1082.100,1.500,1.700,0.100,3.500,27.200,100.600,1.400,43.890,32.279
12604,0.448,-0.894,2.200,3.900,4.200,2.700,6.600,1.000,2.700,2.500,2.800,4.700,1.700,37.100,8.300,1093.300,1.400,0.800,0.100,3.800,27.700,100.600,1.600,40.230,33.908
12605,0.277,-0.961,4.900,2.900,45.200,1.800,17.000,1.300,2.200,2.800,2.800,10.500,1.600,32.100,11.300,968.100,1.500,1.000,0.100,4.200,27.800,100.700,30.500,35.750,35.216
12606,0.355,-0.935,3.400,3.400,15.500,2.200,14.900,0.600,2.800,2.500,1.100,9.600,2.500,24.900,9.400,868.800,1.500,0.900,0.100,4.300,27.800,100.700,134.500,34.930,36.173
12607,0.376,-0.927,4.000,2.500,47.300,3.800,21.400,0.900,3.100,1.700,3.600,15.800,1.700,30.400,17.200,922.400,1.400,1.000,0.200,4.200,28.800,100.800,301.000,33.400,36.713
12608,0.271,-0.963,16.600,3.800,373.300,3.000,45.200,1.450,7.100,0.900,0.100,43.800,1.900,56.500,66.000,855.300,1.400,8.500,0.100,4.500,30.200,100.800,521.400,21.730,35.905
12609,0.522,-0.853,4.700,1.600,39.700,4.400,11.500,2.000,4.700,2.500,3.200,14.500,2.700,46.400,18.800,964.900,1.500,11.100,0.200,4.500,31.600,100.800,592.600,39.470,35.594
12610,0.618,-0.786,1.300,4.100,1.700,2.500,4.000,2.000,2.800,4.100,5.400,8.300,2.800,43.100,7.400,910.600,1.500,1.100,0.100,5.100,33.200,100.700,761.200,45.770,36.896
12611,0.780,-0.625,2.800,5.800,1.800,1.900,5.100,1.100,3.600,4.700,3.300,5.600,2.300,48.000,7.800,860.700,1.600,1.300,0.200,5.300,34.100,100.600,744.000,44.000,36.910
